"schemaname","tablename","indexname","indexdef"
"public","chat_conversations","chat_conversations_pkey","CREATE UNIQUE INDEX chat_conversations_pkey ON public.chat_conversations USING btree (id)"
"public","chat_conversations","idx_chat_conversations_user","CREATE INDEX idx_chat_conversations_user ON public.chat_conversations USING btree (user_id)"
"public","chat_messages","chat_messages_pkey","CREATE UNIQUE INDEX chat_messages_pkey ON public.chat_messages USING btree (id)"
"public","chat_messages","idx_chat_messages_conversation","CREATE INDEX idx_chat_messages_conversation ON public.chat_messages USING btree (conversation_id)"
"public","chat_messages","idx_chat_messages_user","CREATE INDEX idx_chat_messages_user ON public.chat_messages USING btree (user_id)"
"public","comment_votes","comment_votes_comment_id_user_id_key","CREATE UNIQUE INDEX comment_votes_comment_id_user_id_key ON public.comment_votes USING btree (comment_id, user_id)"
"public","comment_votes","comment_votes_pkey","CREATE UNIQUE INDEX comment_votes_pkey ON public.comment_votes USING btree (id)"
"public","course_categories","course_categories_name_key","CREATE UNIQUE INDEX course_categories_name_key ON public.course_categories USING btree (name)"
"public","course_categories","course_categories_pkey","CREATE UNIQUE INDEX course_categories_pkey ON public.course_categories USING btree (id)"
"public","course_categories","course_categories_slug_key","CREATE UNIQUE INDEX course_categories_slug_key ON public.course_categories USING btree (slug)"
"public","course_category_junction","course_category_junction_pkey","CREATE UNIQUE INDEX course_category_junction_pkey ON public.course_category_junction USING btree (course_id, category_id)"
"public","course_planner","course_planner_pkey","CREATE UNIQUE INDEX course_planner_pkey ON public.course_planner USING btree (id)"
"public","course_planner","unique_user_course_semester","CREATE UNIQUE INDEX unique_user_course_semester ON public.course_planner USING btree (user_id, course_id, semester, year)"
"public","course_reviews","course_reviews_pkey","CREATE UNIQUE INDEX course_reviews_pkey ON public.course_reviews USING btree (id)"
"public","course_reviews","idx_course_reviews_author","CREATE INDEX idx_course_reviews_author ON public.course_reviews USING btree (author_id)"
"public","course_reviews","idx_course_reviews_author_id","CREATE INDEX idx_course_reviews_author_id ON public.course_reviews USING btree (author_id)"
"public","course_reviews","idx_course_reviews_course","CREATE INDEX idx_course_reviews_course ON public.course_reviews USING btree (course_id)"
"public","course_reviews","idx_course_reviews_course_id","CREATE INDEX idx_course_reviews_course_id ON public.course_reviews USING btree (course_id)"
"public","course_schedules","course_schedules_pkey","CREATE UNIQUE INDEX course_schedules_pkey ON public.course_schedules USING btree (id)"
"public","course_special_requirements","course_special_requirements_pkey","CREATE UNIQUE INDEX course_special_requirements_pkey ON public.course_special_requirements USING btree (id)"
"public","course_special_requirements","idx_course_special_requirements_user_id","CREATE INDEX idx_course_special_requirements_user_id ON public.course_special_requirements USING btree (user_id)"
"public","courses","courses_code_semester_year_key","CREATE UNIQUE INDEX courses_code_semester_year_key ON public.courses USING btree (code, semester, year)"
"public","courses","courses_pkey","CREATE UNIQUE INDEX courses_pkey ON public.courses USING btree (id)"
"public","courses","idx_courses_code","CREATE INDEX idx_courses_code ON public.courses USING btree (code)"
"public","courses","idx_courses_department","CREATE INDEX idx_courses_department ON public.courses USING btree (department)"
"public","courses","idx_courses_semester_year","CREATE INDEX idx_courses_semester_year ON public.courses USING btree (semester, year)"
"public","feedback","feedback_created_at_idx","CREATE INDEX feedback_created_at_idx ON public.feedback USING btree (created_at)"
"public","feedback","feedback_pkey","CREATE UNIQUE INDEX feedback_pkey ON public.feedback USING btree (id)"
"public","feedback","feedback_user_id_idx","CREATE INDEX feedback_user_id_idx ON public.feedback USING btree (user_id)"
"public","forum_categories","forum_categories_pkey","CREATE UNIQUE INDEX forum_categories_pkey ON public.forum_categories USING btree (id)"
"public","forum_categories","forum_categories_slug_key","CREATE UNIQUE INDEX forum_categories_slug_key ON public.forum_categories USING btree (slug)"
"public","forum_comments","forum_comments_pkey","CREATE UNIQUE INDEX forum_comments_pkey ON public.forum_comments USING btree (id)"
"public","forum_likes","forum_likes_pkey","CREATE UNIQUE INDEX forum_likes_pkey ON public.forum_likes USING btree (id)"
"public","forum_likes","forum_likes_post_id_user_id_key","CREATE UNIQUE INDEX forum_likes_post_id_user_id_key ON public.forum_likes USING btree (post_id, user_id)"
"public","forum_notification_preferences","forum_notification_preferences_pkey","CREATE UNIQUE INDEX forum_notification_preferences_pkey ON public.forum_notification_preferences USING btree (id)"
"public","forum_notification_preferences","forum_notification_preferences_post_id_user_id_key","CREATE UNIQUE INDEX forum_notification_preferences_post_id_user_id_key ON public.forum_notification_preferences USING btree (post_id, user_id)"
"public","forum_post_tags","forum_post_tags_pkey","CREATE UNIQUE INDEX forum_post_tags_pkey ON public.forum_post_tags USING btree (id)"
"public","forum_post_tags","forum_post_tags_post_id_tag_key","CREATE UNIQUE INDEX forum_post_tags_post_id_tag_key ON public.forum_post_tags USING btree (post_id, tag)"
"public","forum_posts","forum_posts_pkey","CREATE UNIQUE INDEX forum_posts_pkey ON public.forum_posts USING btree (id)"
"public","forum_saved","forum_saved_pkey","CREATE UNIQUE INDEX forum_saved_pkey ON public.forum_saved USING btree (id)"
"public","forum_saved","forum_saved_user_id_post_id_key","CREATE UNIQUE INDEX forum_saved_user_id_post_id_key ON public.forum_saved USING btree (user_id, post_id)"
"public","forum_saved","idx_forum_saved_post_id","CREATE INDEX idx_forum_saved_post_id ON public.forum_saved USING btree (post_id)"
"public","forum_saved","idx_forum_saved_user_id","CREATE INDEX idx_forum_saved_user_id ON public.forum_saved USING btree (user_id)"
"public","forum_views","forum_views_pkey","CREATE UNIQUE INDEX forum_views_pkey ON public.forum_views USING btree (id)"
"public","forum_views","forum_views_post_id_user_id_key","CREATE UNIQUE INDEX forum_views_post_id_user_id_key ON public.forum_views USING btree (post_id, user_id)"
"public","marketplace_items","marketplace_items_pkey","CREATE UNIQUE INDEX marketplace_items_pkey ON public.marketplace_items USING btree (id)"
"public","search_cache","idx_search_cache_created_at","CREATE INDEX idx_search_cache_created_at ON public.search_cache USING btree (created_at)"
"public","search_cache","search_cache_pkey","CREATE UNIQUE INDEX search_cache_pkey ON public.search_cache USING btree (query)"
"public","search_costs","idx_search_costs_created_at","CREATE INDEX idx_search_costs_created_at ON public.search_costs USING btree (created_at)"
"public","search_costs","search_costs_pkey","CREATE UNIQUE INDEX search_costs_pkey ON public.search_costs USING btree (id)"
"public","user_token_usage","idx_user_token_usage_user_month","CREATE INDEX idx_user_token_usage_user_month ON public.user_token_usage USING btree (user_id, month_year)"
"public","user_token_usage","user_token_usage_pkey","CREATE UNIQUE INDEX user_token_usage_pkey ON public.user_token_usage USING btree (id)"
"public","user_token_usage","user_token_usage_unique","CREATE UNIQUE INDEX user_token_usage_unique ON public.user_token_usage USING btree (user_id, month_year)"
"public","users","users_email_key","CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)"
"public","users","users_pkey","CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)"
